,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
2034,Forgetting Sarah Marshall,"Struggling musician Peter Bretter (Jason Segel) is better-known as the boyfriend of TV star Sarah Marshall (Kristen Bell). After she unceremoniously dumps him, he feels lost and alone but makes a last-ditch bid to get over it by going to Hawaii. However, she and her new boyfriend (Russell Brand) are there in the same hotel.", English, 1h 52m, Nicholas Stoller," Judd Apatow, Shauna Robertson", Jason Segel,"['Jason Segel', 'Peter Bretter', 'Kristen Bell', 'Sarah Marshall', 'Mila Kunis', 'Rachael', 'Russell Brand', 'Aldous', 'Bill Hader', 'Brian', 'Liz Cackowski', 'Liz']", Universal Pictures, Apatow Productions, $62.9M,83%,76%,186," Romance, Comedy"," Apr 18, 2008  Wide"," Jun 15, 2012",https://www.rottentomatoes.com/m/forgetting_sarah_marshall
2035,Before Midnight 2013,"On the last night of their idyllic Greek vacation, longtime lovers Jesse (Ethan Hawke) and Celine (Julie Delpy) reminisce about their lives together and what different choices might have brought.", English, 1h 49m, Richard Linklater," Richard Linklater, Christos V. Konstantakopoulos, Sara Woodhatch"," Richard Linklater, Julie Delpy, Ethan Hawke","['Ethan Hawke', 'Jesse', 'Julie Delpy', 'Celine', 'Seamus Davey-Fitzpatrick', 'Hank', 'Jennifer Prior', 'Ella', 'Charlotte Prior', 'Nina', 'Walter Lassally', 'Patrick']", Sony Pictures Classics," Faliro House, Castle Rock Entertainment, Venture Forth", $8.1M,98%,82%,207," Romance, Drama"," May 24, 2013  Limited"," Oct 15, 2013",https://www.rottentomatoes.com/m/before_midnight_2013
2036,Marry Me 2022,"Kat Valdez (Jennifer Lopez) is half of the sexiest celebrity power couple on Earth with hot new music supernova Bastian (Maluma, making his feature-film debut). As Kat and Bastian's inescapable hit single, ""Marry Me,"" climbs the charts, they are about to be wed before an audience of their fans in a ceremony that will streamed across multiple platforms. Divorced high-school math teacher Charlie Gilbert (Owen Wilson) has been dragged to the concert by his daughter Lou (Chloe Coleman, HBO's Big Little Lies) and his best friend (Sarah Silverman). When Kat learns, seconds before the ceremony, that Bastian has cheated on her with her assistant, her life turns left as she has a meltdown on stage, questioning love, truth and loyalty. As her gossamer world falls away, she locks eyes with a stranger--a face in the crowd. If what you know lets you down, then perhaps what you don't know is the answer, and so, in a moment of inspired insanity, Kat chooses to marry Charlie. What begins as an impulsive reaction evolves into an unexpected romance. But as forces conspire to separate them, the universal question arises: Can two people from such different worlds bridge the gulf between them and build a place where they both belong?", English, 1h 52m, Kat Coiro," Elaine Goldsmith-Thomas, Jennifer Lopez, John Rogers, Benny Medina"," Harper Dill, John Rogers, Tami Sagher","['Jennifer Lopez', 'Kat Valdez', 'Owen Wilson', 'Charlie Gilbert', 'Chloe Coleman', 'Lou Gilbert', 'Maluma', 'Bastian', 'Sarah Silverman', 'Parker Debbs', 'Michelle Buteau', 'Melissa']", Universal Pictures," Universal Pictures, Kung Fu Monkey Productions, Perfect World Pictures", $22.4M,61%,92%,217," Romance, Comedy"," Feb 11, 2022  Wide"," Feb 11, 2022",https://www.rottentomatoes.com/m/marry_me_2022
2037,Reader,"Michael Berg (David Kross), a teen in postwar Germany, begins a passionate but clandestine affair with Hanna Schmitz (Kate Winslet), an older woman who enjoys having classic novels read to her. Then Hanna mysteriously disappears, leaving Michael heartbroken and confused. Years later, Michael, now a law student, gets the shock of his life when he sees Hanna on trial for Nazi war crimes.", English, 2h 3m, Stephen Daldry," Anthony Minghella, Sydney Pollack, Donna Gigliotti, Redmond Morris", David Hare,"['Kate Winslet', 'Hanna Schmitz', 'Ralph Fiennes', 'Older Michael', 'David Kross', 'Young Michael', 'Lena Olin', 'Rose Mather, Ilana Mather', 'Bruno Ganz', 'Professor Rohl', 'Alexandra Maria Lara', 'Young Ilana Mather']", Weinstein Co.," Mirage Enterprises, Neunte Babelsberg", $34.2M,63%,79%,203," Drama, Romance"," Jan 9, 2009  Wide"," Aug 10, 2016",https://www.rottentomatoes.com/m/reader
2038,1037780-Man In The Moon,"Maureen Trant (Emily Warfield) and her younger sibling Dani (Reese Witherspoon) share a strong connection, but local boy Court Foster (Jason London) threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.", English, 1h 39m, Robert Mulligan, Mark Rydell, Jenny Wingfield,"['Sam Waterston', 'Matthew Trant', 'Tess Harper', 'Abigail Trant', 'Gail Strickland', 'Marie Foster', 'Reese Witherspoon', ""Danielle 'Dani' Trant"", 'Jason London', 'Court Foster', 'Emily Warfield', 'Maureen Trant']", Metro-Goldwyn-Mayer, Metro Goldwyn Mayer, $2.2M,91%,85%,22," Drama, Romance"," Nov 15, 1991  Original"," Jan 1, 2017",https://www.rottentomatoes.com/m/1037780-man_in_the_moon
2039,Legally Blonde,"Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there is one thing stopping him (Matthew Davis) from proposing: She is too blond. Elle rallies all of her resources and gets into Harvard, determined to win him back.", English, 1h 36m, Robert Luketic," Marc Platt, Ric Kidney"," Karen McCullah, Kirsten Smith, Amanda Brown","['Reese Witherspoon', 'Elle Woods', 'Luke Wilson', 'Emmett', 'Selma Blair', 'Vivian', 'Matthew Davis', 'Warner', 'Victor Garber', 'Professor Callahan', 'Jennifer Coolidge', 'Paulette']", Metro-Goldwyn-Mayer," Metro Goldwyn Mayer, Marc Platt Productions", $96.5M,71%,72%,150," Comedy, Romance"," Jul 13, 2001  Wide"," Mar 29, 2016",https://www.rottentomatoes.com/m/legally_blonde
2040,In The Mood For Love 2001,"In 1962, journalist Chow Mo-wan (Tony Leung Chiu Wai) and his wife move into a Hong Kong apartment, but Chow's spouse is often away on business. Before long, the lonely Chow makes the acquaintance of the alluring Su Li-zhen (Maggie Cheung Man-yuk), whose own significant other also seems preoccupied with work. As the two friends realize their respective partners are cheating on them, they begin to fall for one another; however, neither wants to stoop to the level of the unfaithful spouses.", Chinese, 1h 37m, Kar-Wai Wong, William Chang, Kar-Wai Wong,"['Tony Leung Chiu Wai', 'Chow Mo-wan', 'Maggie Cheung', 'Su Li-zhen', 'Kelly Lai Chen', 'Mr. Ho', 'Rebecca Pan', 'Mrs. Suen', 'Ping Lam Siu', 'Ah Ping', 'Tsi-Ang Chin', 'Amah']", USA Films," Block 2 Pictures, Paradis Film, Jet Tone Productions", $2.7M,92%,94%,187," Romance, Drama"," Mar 9, 2001  Wide"," Oct 15, 2020",https://www.rottentomatoes.com/m/in_the_mood_for_love_2001
2041,Gloria 2012,An aging divorcee (Paulina García) embarks on an intense affair with a man (Sergio Hernández) she picked up at a disco., Spanish, 1h 49m, Sebastián Lelio," Juan de Dios Larraín, Pablo Larraín, Luis Collar, Gonzalo Maza"," Sebastián Lelio, Gonzalo Maza","['Paulina García', 'Gloria', 'Sergio Hernández', 'Rodolfo', 'Diego Fontecilla', 'Pedro', 'Coca Guazzini', 'Luz', 'Alejandro Goic', 'Gabriel', 'Liliana García', 'Flavia']", Roadside Attractions," Fabula, Nephilim Producciones", $2.1M,100%,65%,129," Drama, Romance"," Jan 17, 2014  Limited"," Nov 15, 2015",https://www.rottentomatoes.com/m/gloria_2012
2042,Notting Hill,"William Thacker (Hugh Grant) is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott (Julia Roberts) appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.", English, 2h 3m, Roger Michell, Duncan Kenworthy, Richard Curtis,"['Julia Roberts', 'Anna Scott', 'Hugh Grant', 'William Thacker', 'Hugh Bonneville', 'Bernie', 'Emma Chambers', 'Honey', 'James Dreyfus', 'Martin', 'Rhys Ifans', 'Spike']"," MCA/Universal Pictures [us], Polygram", PolyGram Filmed Entertainment, $116.1M,84%,79%,106," Romance, Comedy"," May 28, 1999  Wide"," Feb 12, 2014",https://www.rottentomatoes.com/m/notting_hill
2043,When Harry Met Sally,"In 1977, college graduates Harry Burns (Billy Crystal) and Sally Albright (Meg Ryan) share a contentious car ride from Chicago to New York, during which they argue about whether men and women can ever truly be strictly platonic friends. Ten years later, Harry and Sally meet again at a bookstore, and in the company of their respective best friends, Jess (Bruno Kirby) and Marie (Carrie Fisher), attempt to stay friends without sex becoming an issue between them.", English, 1h 35m, Rob Reiner," Rob Reiner, Andrew Scheinman", Nora Ephron,"['Billy Crystal', 'Harry Burns', 'Meg Ryan', 'Sally Albright', 'Carrie Fisher', 'Marie', 'Bruno Kirby', 'Jess', 'Steven Ford', 'Joe', 'Lisa Jane Persky', 'Alice']"," MGM/UA Home Entertainment Inc., Columbia Pictures", Castle Rock Entertainment, $90.4M,91%,89%,79," Romance, Comedy"," Jul 12, 1989  Original"," Nov 28, 2016",https://www.rottentomatoes.com/m/when_harry_met_sally
2044,Moonstruck,"No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she finds herself falling for his younger brother, Ronny (Nicolas Cage). She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.", English, 1h 41m, Norman Jewison," Norman Jewison, Patrick J. Palmer", John Patrick Shanley,"['Cher', 'Loretta Castorini', 'Nicolas Cage', 'Ronny Cammareri', 'Vincent Gardenia', 'Cosmo Castorini', 'Olympia Dukakis', 'Rose Castorini', 'Danny Aiello', 'Mr. Johnny Cammareri', 'Julie Bovasso', 'Rita Cappomaggi']", Metro-Goldwyn-Mayer, Metro Goldwyn Mayer, $80.0M,92%,80%,74," Romance, Comedy"," Dec 18, 1987  Original"," Nov 1, 2016",https://www.rottentomatoes.com/m/moonstruck
2045,Under The Tuscan Sun,"When Frances Mayes (Diane Lane) learns her husband is cheating on her from a writer whom she gave a bad review, her life is turned upside down. In an attempt to bring her out of a deep depression, her best friend, Patti (Sandra Oh), encourages Frances to take a tour of Italy. During the trip, the new divorcée impulsively decides to purchase a rural Tuscan villa and struggles to start her life anew amid colorful local characters, including the handsome Marcello (Raoul Bova).", English, 1h 53m, Audrey Wells," Audrey Wells, Tom Sternberg"," Audrey Wells, Audrey Wells, Frances Mayes","['Diane Lane', 'Frances Mayes', 'Sandra Oh', 'Patti', 'Lindsay Duncan', 'Katherine', 'Vincent Riotta', 'Martini', 'Raoul Bova', 'Marcello', 'Giulia Steigerwalt', 'Chiara']", Buena Vista Pictures," Touchstone Pictures, Blue Gardenia Productions, Timnick Films", $43.6M,62%,78%,155," Romance, Comedy, Drama"," Sep 26, 2003  Wide"," Dec 18, 2015",https://www.rottentomatoes.com/m/under_the_tuscan_sun
2046,Friends With Benefits,"Jamie (Mila Kunis) is a New York-based executive recruiter who entices Dylan (Justin Timberlake), an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.", English, 1h 49m, Will Gluck," Martin Shafer, Liz Glotzer, Jerry Zucker, Janet Zucker, Will Gluck"," Keith Merryman, David A. Newman, Will Gluck","['Justin Timberlake', 'Dylan', 'Mila Kunis', 'Jamie', 'Patricia Clarkson', 'Lorna', 'Jenna Elfman', 'Annie', 'Bryan Greenberg', 'Parker', 'Richard Jenkins', 'Mr. Harper']", Sony Pictures," Castle Rock Entertainment, Olive Bridge Entertainment, Zucker Productions", $55.8M,69%,65%,171," Romance, Comedy"," Jul 22, 2011  Wide"," Jul 1, 2014",https://www.rottentomatoes.com/m/friends_with_benefits
2047,Ruby Sparks,"Young author Calvin Weir-Fields (Paul Dano), once a literary darling, is having trouble composing his next novel. Following a therapist's advice, Calvin pulls out an old manual typewriter and creates a vivacious, flame-haired woman he dubs Ruby Sparks (Zoe Kazan). Overnight, Ruby leaps from the page into Calvin's home as a real flesh-and-blood woman. And, what's more, she's unaware that she's actually a fictional character and that her actions and feelings are dictated by whatever Calvin writes.", English, 1h 44m," Jonathan Dayton, Valerie Faris"," Albert Berger, Ron Yerxa", Zoe Kazan,"['Paul Dano', 'Calvin Weir-Fields', 'Zoe Kazan', 'Ruby Sparks', 'Antonio Banderas', 'Mort', 'Annette Bening', 'Gertrude', 'Steve Coogan', 'Langdon Tharp', 'Elliott Gould', 'Dr. Rosenthal']", Fox Searchlight, Bona Fide Productions, $2.5M,79%,75%,183," Romance, Fantasy"," Jul 25, 2012  Limited"," Mar 1, 2013",https://www.rottentomatoes.com/m/ruby_sparks
2048,13 Going On 30,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna (Christa B. Allen) wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old (Jennifer Garner). But adulthood, with its own set of male-female challenges, isn't as easy as it looks.", English, 1h 37m, Gary Winick," Susan Arnold, Gina Matthews, Donna Arkoff Roth"," Josh Goldsmith, Rita Hsiao, Cathy Yuspa","['Jennifer Garner', 'Jenna Rink', 'Mark Ruffalo', 'Matt Flamhaff', 'Judy Greer', 'Lucy', 'Andy Serkis', 'Richard', 'Kathy Baker', 'Beverly Rink', 'Phil Reeves', 'Wayne Rink']"," Columbia Pictures, Sony Pictures Entertainment"," Revolution Studios, Thirteen Productions LLC", $56.0M,64%,71%,177," Romance, Comedy, Fantasy"," Apr 14, 2004  Wide"," Jun 16, 2010",https://www.rottentomatoes.com/m/13_going_on_30
2049,5050 2011,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.", English, 1h 39m, Jonathan Levine," Evan Goldberg, Seth Rogen, Ben Karlin", Will Reiser,"['Joseph Gordon-Levitt', 'Adam', 'Seth Rogen', 'Kyle', 'Anna Kendrick', 'Katherine', 'Bryce Dallas Howard', 'Rachael', 'Philip Baker Hall', 'Alan', 'Anjelica Huston', 'Diane']", Summit Entertainment," Summit Entertainment, Point Grey, Mandate Pictures", $35.0M,93%,88%,198," Comedy, Drama, Romance"," Sep 30, 2011  Wide"," Jan 7, 2014",https://www.rottentomatoes.com/m/5050_2011
2050,Far From The Madding Crowd 2014,"A headstrong Victorian beauty (Carey Mulligan) has her choice of three different suitors: a sheep farmer (Matthias Schoenaerts), a dashing soldier (Tom Sturridge) and a prosperous, older bachelor (Michael Sheen).", English, 1h 58m, Thomas Vinterberg," Andrew Macdonald, Allon Reich"," David Nicholls, Thomas Hardy","['Carey Mulligan', 'Bathsheba Everdene', 'Matthias Schoenaerts', 'Gabriel Oak', 'Michael Sheen', 'William Boldwood', 'Tom Sturridge', 'Frank Troy', 'Juno Temple', 'Fanny Robin', 'Jessica Barden', 'Liddy']", Fox Searchlight, DNA Films, $12.1M,85%,75%,194," Romance, Drama"," May 1, 2015  Limited"," Oct 13, 2016",https://www.rottentomatoes.com/m/far_from_the_madding_crowd_2014
