Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link,All Genres
My Best Friends Wedding,"Childhood friends Julianne Potter (Julia Roberts) and Michael O'Neal (Dermot Mulroney) had a deal to marry each other if they were still single by age 28. Now, four days before her 28th birthday, O'Neil announces that he's marrying a gorgeous 20-year-old named Kimberly (Cameron Diaz). Suddenly realizing that she's actually in love with him, Julianne vows to stop the wedding at all costs. However, when she is appointed maid of honor, things get even more complex.",Eng,105,P.J. Hogan,"Ronald Bass, Jerry Zucker",Ronald Bass,"['Julia Roberts', 'Julianne Potter', 'Dermot Mulroney', ""Michael O'Neal"", 'Cameron Diaz', 'Kimberly Wallace', 'Rupert Everett', 'George Downes', 'Philip Bosco', 'Walter Wallace', 'M. Emmet Walsh', ""Joe O'Neal""]","TriStar Pictures, Columbia Tristar, Sony Pictures Entertainment",TriStar Pictures,126800000.0,0.74,0.73,61,Romance,"Jun 20, 1997  Original","Jan 9, 2014",https://www.rottentomatoes.com/m/my_best_friends_wedding,"Romance, Comedy"
Punchdrunk Love,"Although susceptible to violent outbursts, bathroom supply business owner Barry Egan (Adam Sandler) is a timid and shy man by disposition, leading a lonely, uneventful life -- partly due to the constant berating he suffers from his seven sisters. However, several events transpire that shake up Egan's mundane existence, one of which is falling in love with one sister's co-worker, Lena Leonard (Emily Watson). But the romance is threatened when Egan falls victim to an extortionist.",Eng,95,Paul Thomas Anderson,"Paul Thomas Anderson, Daniel Lupi, JoAnne Sellar",Paul Thomas Anderson,"['Adam Sandler', 'Barry Egan', 'Emily Watson', 'Lena Leonard', 'Philip Seymour Hoffman', 'Dean Trumbull', 'Luis Guzmán', 'Lance', 'Mary Lynn Rajskub', 'Elizabeth', 'Rico Buena', 'Rico']",Columbia Pictures,"Ghoulardi Film Company, Revolution Films",17800000.0,0.79,0.77,200,Romance,"Oct 11, 2002  Wide","Dec 15, 2010",https://www.rottentomatoes.com/m/punchdrunk_love,"Romance, Comedy"
Atonement,"This sweeping English drama, based on the book by Ian McEwan, follows the lives of young lovers Cecilia Tallis (Keira Knightley) and Robbie Turner (James McAvoy). When the couple are torn apart by a lie constructed by Cecilia's jealous younger sister, Briony (Saoirse Ronan), all three of them must deal with the consequences. Robbie is the hardest hit, since Briony's deception results in his imprisonment, but hope for Cecilia and her beau increases when their paths cross during World War II.",Eng,123,Joe Wright,"Tim Bevan, Eric Fellner, Paul Webster",Christopher Hampton,"['James McAvoy', 'Robbie Turner', 'Keira Knightley', 'Cecilia Tallis', 'Romola Garai', 'Briony - Age 18', 'Saoirse Ronan', 'Briony - Age 13', 'Brenda Blethyn', 'Grace Turner', 'Vanessa Redgrave', 'Older Briony']",Focus Features,Working Title Films,50900000.0,0.83,0.8,220,Drama,"Dec 7, 2007  Limited","Dec 1, 2015",https://www.rottentomatoes.com/m/atonement,"Drama, Romance"
Emma 2020,"Beautiful, smart and wealthy, Emma Woodhouse navigates her way through misguided matches, romantic missteps and the challenges of growing up -- all to finally realize the love that has been there all along.",Eng,125,Autumn de Wilde,"Tim Bevan, Eric Fellner, Graham Broadbent, Peter Czernin",Eleanor Catton,"['Anya Taylor-Joy', 'Emma Woodhouse', 'Johnny Flynn', 'George Knightley', 'Bill Nighy', 'Mr. Woodhouse', 'Mia Goth', 'Harriet Smith', 'Miranda Hart', 'Miss Bates', ""Josh O'Connor"", 'Mr. Elton']",Focus Features,"Working Title Films, Perfect World Pictures, Blueprint Pictures",9900000.0,0.86,0.72,259,Romance,"Mar 6, 2020  Wide","Mar 20, 2020",https://www.rottentomatoes.com/m/emma_2020,"Romance, Drama"
Adrift 2018,"Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.",Eng,120,Baltasar Kormákur,"Baltasar Kormákur, Aaron Kandell, Jordan Kandell, Shailene Woodley","Aaron Kandell, Jordan Kandell, David Branson Smith","['Shailene Woodley', 'Tami Oldham', 'Sam Claflin', 'Richard Sharp', 'Jeffrey Thomas', 'Peter Crompton', 'Elizabeth Hawthorne', 'Christine Crompton', 'Grace Palmer', 'Deb', 'Tami Ashcraft', 'Self']",STX Films,"Huayi Brothers, Lakeshore Entertainment, RVK Studios, Ingenious Media, STX Entertainment",31400000.0,0.69,0.65,204,Adventure,"Jun 1, 2018  Wide","Aug 21, 2018",https://www.rottentomatoes.com/m/adrift_2018,"Adventure, Drama, Romance"
Forgetting Sarah Marshall,"Struggling musician Peter Bretter (Jason Segel) is better-known as the boyfriend of TV star Sarah Marshall (Kristen Bell). After she unceremoniously dumps him, he feels lost and alone but makes a last-ditch bid to get over it by going to Hawaii. However, she and her new boyfriend (Russell Brand) are there in the same hotel.",Eng,112,Nicholas Stoller,"Judd Apatow, Shauna Robertson",Jason Segel,"['Jason Segel', 'Peter Bretter', 'Kristen Bell', 'Sarah Marshall', 'Mila Kunis', 'Rachael', 'Russell Brand', 'Aldous', 'Bill Hader', 'Brian', 'Liz Cackowski', 'Liz']",Universal Pictures,Apatow Productions,62900000.0,0.83,0.76,186,Romance,"Apr 18, 2008  Wide","Jun 15, 2012",https://www.rottentomatoes.com/m/forgetting_sarah_marshall,"Romance, Comedy"
Before Midnight 2013,"On the last night of their idyllic Greek vacation, longtime lovers Jesse (Ethan Hawke) and Celine (Julie Delpy) reminisce about their lives together and what different choices might have brought.",Eng,109,Richard Linklater,"Richard Linklater, Christos V. Konstantakopoulos, Sara Woodhatch","Richard Linklater, Julie Delpy, Ethan Hawke","['Ethan Hawke', 'Jesse', 'Julie Delpy', 'Celine', 'Seamus Davey-Fitzpatrick', 'Hank', 'Jennifer Prior', 'Ella', 'Charlotte Prior', 'Nina', 'Walter Lassally', 'Patrick']",Sony Pictures Classics,"Faliro House, Castle Rock Entertainment, Venture Forth",8100000.0,0.98,0.82,207,Romance,"May 24, 2013  Limited","Oct 15, 2013",https://www.rottentomatoes.com/m/before_midnight_2013,"Romance, Drama"
Marry Me 2022,"Kat Valdez (Jennifer Lopez) is half of the sexiest celebrity power couple on Earth with hot new music supernova Bastian (Maluma, making his feature-film debut). As Kat and Bastian's inescapable hit single, ""Marry Me,"" climbs the charts, they are about to be wed before an audience of their fans in a ceremony that will streamed across multiple platforms. Divorced high-school math teacher Charlie Gilbert (Owen Wilson) has been dragged to the concert by his daughter Lou (Chloe Coleman, HBO's Big Little Lies) and his best friend (Sarah Silverman). When Kat learns, seconds before the ceremony, that Bastian has cheated on her with her assistant, her life turns left as she has a meltdown on stage, questioning love, truth and loyalty. As her gossamer world falls away, she locks eyes with a stranger--a face in the crowd. If what you know lets you down, then perhaps what you don't know is the answer, and so, in a moment of inspired insanity, Kat chooses to marry Charlie. What begins as an impulsive reaction evolves into an unexpected romance. But as forces conspire to separate them, the universal question arises: Can two people from such different worlds bridge the gulf between them and build a place where they both belong?",Eng,112,Kat Coiro,"Elaine Goldsmith-Thomas, Jennifer Lopez, John Rogers, Benny Medina","Harper Dill, John Rogers, Tami Sagher","['Jennifer Lopez', 'Kat Valdez', 'Owen Wilson', 'Charlie Gilbert', 'Chloe Coleman', 'Lou Gilbert', 'Maluma', 'Bastian', 'Sarah Silverman', 'Parker Debbs', 'Michelle Buteau', 'Melissa']",Universal Pictures,"Universal Pictures, Kung Fu Monkey Productions, Perfect World Pictures",22400000.0,0.61,0.92,217,Romance,"Feb 11, 2022  Wide","Feb 11, 2022",https://www.rottentomatoes.com/m/marry_me_2022,"Romance, Comedy"
Reader,"Michael Berg (David Kross), a teen in postwar Germany, begins a passionate but clandestine affair with Hanna Schmitz (Kate Winslet), an older woman who enjoys having classic novels read to her. Then Hanna mysteriously disappears, leaving Michael heartbroken and confused. Years later, Michael, now a law student, gets the shock of his life when he sees Hanna on trial for Nazi war crimes.",Eng,123,Stephen Daldry,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, Redmond Morris",David Hare,"['Kate Winslet', 'Hanna Schmitz', 'Ralph Fiennes', 'Older Michael', 'David Kross', 'Young Michael', 'Lena Olin', 'Rose Mather, Ilana Mather', 'Bruno Ganz', 'Professor Rohl', 'Alexandra Maria Lara', 'Young Ilana Mather']",Weinstein Co.,"Mirage Enterprises, Neunte Babelsberg",34200000.0,0.63,0.79,203,Drama,"Jan 9, 2009  Wide","Aug 10, 2016",https://www.rottentomatoes.com/m/reader,"Drama, Romance"
1037780-Man In The Moon,"Maureen Trant (Emily Warfield) and her younger sibling Dani (Reese Witherspoon) share a strong connection, but local boy Court Foster (Jason London) threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.",Eng,99,Robert Mulligan,Mark Rydell,Jenny Wingfield,"['Sam Waterston', 'Matthew Trant', 'Tess Harper', 'Abigail Trant', 'Gail Strickland', 'Marie Foster', 'Reese Witherspoon', ""Danielle 'Dani' Trant"", 'Jason London', 'Court Foster', 'Emily Warfield', 'Maureen Trant']",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,2200000.0,0.91,0.85,22,Drama,"Nov 15, 1991  Original","Jan 1, 2017",https://www.rottentomatoes.com/m/1037780-man_in_the_moon,"Drama, Romance"
Legally Blonde,"Elle Woods (Reese Witherspoon) has it all. She wants nothing more than to be Mrs. Warner Huntington III. But there is one thing stopping him (Matthew Davis) from proposing: She is too blond. Elle rallies all of her resources and gets into Harvard, determined to win him back.",Eng,96,Robert Luketic,"Marc Platt, Ric Kidney","Karen McCullah, Kirsten Smith, Amanda Brown","['Reese Witherspoon', 'Elle Woods', 'Luke Wilson', 'Emmett', 'Selma Blair', 'Vivian', 'Matthew Davis', 'Warner', 'Victor Garber', 'Professor Callahan', 'Jennifer Coolidge', 'Paulette']",Metro-Goldwyn-Mayer,"Metro Goldwyn Mayer, Marc Platt Productions",96500000.0,0.71,0.72,150,Comedy,"Jul 13, 2001  Wide","Mar 29, 2016",https://www.rottentomatoes.com/m/legally_blonde,"Comedy, Romance"
In The Mood For Love 2001,"In 1962, journalist Chow Mo-wan (Tony Leung Chiu Wai) and his wife move into a Hong Kong apartment, but Chow's spouse is often away on business. Before long, the lonely Chow makes the acquaintance of the alluring Su Li-zhen (Maggie Cheung Man-yuk), whose own significant other also seems preoccupied with work. As the two friends realize their respective partners are cheating on them, they begin to fall for one another; however, neither wants to stoop to the level of the unfaithful spouses.",Chi,97,Kar-Wai Wong,William Chang,Kar-Wai Wong,"['Tony Leung Chiu Wai', 'Chow Mo-wan', 'Maggie Cheung', 'Su Li-zhen', 'Kelly Lai Chen', 'Mr. Ho', 'Rebecca Pan', 'Mrs. Suen', 'Ping Lam Siu', 'Ah Ping', 'Tsi-Ang Chin', 'Amah']",USA Films,"Block 2 Pictures, Paradis Film, Jet Tone Productions",2700000.0,0.92,0.94,187,Romance,"Mar 9, 2001  Wide","Oct 15, 2020",https://www.rottentomatoes.com/m/in_the_mood_for_love_2001,"Romance, Drama"
Gloria 2012,An aging divorcee (Paulina García) embarks on an intense affair with a man (Sergio Hernández) she picked up at a disco.,Spa,109,Sebastián Lelio,"Juan de Dios Larraín, Pablo Larraín, Luis Collar, Gonzalo Maza","Sebastián Lelio, Gonzalo Maza","['Paulina García', 'Gloria', 'Sergio Hernández', 'Rodolfo', 'Diego Fontecilla', 'Pedro', 'Coca Guazzini', 'Luz', 'Alejandro Goic', 'Gabriel', 'Liliana García', 'Flavia']",Roadside Attractions,"Fabula, Nephilim Producciones",2100000.0,1.0,0.65,129,Drama,"Jan 17, 2014  Limited","Nov 15, 2015",https://www.rottentomatoes.com/m/gloria_2012,"Drama, Romance"
Notting Hill,"William Thacker (Hugh Grant) is a London bookstore owner whose humdrum existence is thrown into romantic turmoil when famous American actress Anna Scott (Julia Roberts) appears in his shop. A chance encounter over spilled orange juice leads to a kiss that blossoms into a full-blown affair. As the average bloke and glamorous movie star draw closer and closer together, they struggle to reconcile their radically different lifestyles in the name of love.",Eng,123,Roger Michell,Duncan Kenworthy,Richard Curtis,"['Julia Roberts', 'Anna Scott', 'Hugh Grant', 'William Thacker', 'Hugh Bonneville', 'Bernie', 'Emma Chambers', 'Honey', 'James Dreyfus', 'Martin', 'Rhys Ifans', 'Spike']","MCA/Universal Pictures [us], Polygram",PolyGram Filmed Entertainment,116100000.0,0.84,0.79,106,Romance,"May 28, 1999  Wide","Feb 12, 2014",https://www.rottentomatoes.com/m/notting_hill,"Romance, Comedy"
When Harry Met Sally,"In 1977, college graduates Harry Burns (Billy Crystal) and Sally Albright (Meg Ryan) share a contentious car ride from Chicago to New York, during which they argue about whether men and women can ever truly be strictly platonic friends. Ten years later, Harry and Sally meet again at a bookstore, and in the company of their respective best friends, Jess (Bruno Kirby) and Marie (Carrie Fisher), attempt to stay friends without sex becoming an issue between them.",Eng,95,Rob Reiner,"Rob Reiner, Andrew Scheinman",Nora Ephron,"['Billy Crystal', 'Harry Burns', 'Meg Ryan', 'Sally Albright', 'Carrie Fisher', 'Marie', 'Bruno Kirby', 'Jess', 'Steven Ford', 'Joe', 'Lisa Jane Persky', 'Alice']","MGM/UA Home Entertainment Inc., Columbia Pictures",Castle Rock Entertainment,90400000.0,0.91,0.89,79,Romance,"Jul 12, 1989  Original","Nov 28, 2016",https://www.rottentomatoes.com/m/when_harry_met_sally,"Romance, Comedy"
Moonstruck,"No sooner does Italian-American widow Loretta (Cher) accept a marriage proposal from her doltish boyfriend, Johnny (Danny Aiello), than she finds herself falling for his younger brother, Ronny (Nicolas Cage). She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.",Eng,101,Norman Jewison,"Norman Jewison, Patrick J. Palmer",John Patrick Shanley,"['Cher', 'Loretta Castorini', 'Nicolas Cage', 'Ronny Cammareri', 'Vincent Gardenia', 'Cosmo Castorini', 'Olympia Dukakis', 'Rose Castorini', 'Danny Aiello', 'Mr. Johnny Cammareri', 'Julie Bovasso', 'Rita Cappomaggi']",Metro-Goldwyn-Mayer,Metro Goldwyn Mayer,80000000.0,0.92,0.8,74,Romance,"Dec 18, 1987  Original","Nov 1, 2016",https://www.rottentomatoes.com/m/moonstruck,"Romance, Comedy"
Under The Tuscan Sun,"When Frances Mayes (Diane Lane) learns her husband is cheating on her from a writer whom she gave a bad review, her life is turned upside down. In an attempt to bring her out of a deep depression, her best friend, Patti (Sandra Oh), encourages Frances to take a tour of Italy. During the trip, the new divorcée impulsively decides to purchase a rural Tuscan villa and struggles to start her life anew amid colorful local characters, including the handsome Marcello (Raoul Bova).",Eng,113,Audrey Wells,"Audrey Wells, Tom Sternberg","Audrey Wells, Audrey Wells, Frances Mayes","['Diane Lane', 'Frances Mayes', 'Sandra Oh', 'Patti', 'Lindsay Duncan', 'Katherine', 'Vincent Riotta', 'Martini', 'Raoul Bova', 'Marcello', 'Giulia Steigerwalt', 'Chiara']",Buena Vista Pictures,"Touchstone Pictures, Blue Gardenia Productions, Timnick Films",43600000.0,0.62,0.78,155,Romance,"Sep 26, 2003  Wide","Dec 18, 2015",https://www.rottentomatoes.com/m/under_the_tuscan_sun,"Romance, Comedy, Drama"
Friends With Benefits,"Jamie (Mila Kunis) is a New York-based executive recruiter who entices Dylan (Justin Timberlake), an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",Eng,109,Will Gluck,"Martin Shafer, Liz Glotzer, Jerry Zucker, Janet Zucker, Will Gluck","Keith Merryman, David A. Newman, Will Gluck","['Justin Timberlake', 'Dylan', 'Mila Kunis', 'Jamie', 'Patricia Clarkson', 'Lorna', 'Jenna Elfman', 'Annie', 'Bryan Greenberg', 'Parker', 'Richard Jenkins', 'Mr. Harper']",Sony Pictures,"Castle Rock Entertainment, Olive Bridge Entertainment, Zucker Productions",55800000.0,0.69,0.65,171,Romance,"Jul 22, 2011  Wide","Jul 1, 2014",https://www.rottentomatoes.com/m/friends_with_benefits,"Romance, Comedy"
Ruby Sparks,"Young author Calvin Weir-Fields (Paul Dano), once a literary darling, is having trouble composing his next novel. Following a therapist's advice, Calvin pulls out an old manual typewriter and creates a vivacious, flame-haired woman he dubs Ruby Sparks (Zoe Kazan). Overnight, Ruby leaps from the page into Calvin's home as a real flesh-and-blood woman. And, what's more, she's unaware that she's actually a fictional character and that her actions and feelings are dictated by whatever Calvin writes.",Eng,104,"Jonathan Dayton, Valerie Faris","Albert Berger, Ron Yerxa",Zoe Kazan,"['Paul Dano', 'Calvin Weir-Fields', 'Zoe Kazan', 'Ruby Sparks', 'Antonio Banderas', 'Mort', 'Annette Bening', 'Gertrude', 'Steve Coogan', 'Langdon Tharp', 'Elliott Gould', 'Dr. Rosenthal']",Fox Searchlight,Bona Fide Productions,2500000.0,0.79,0.75,183,Romance,"Jul 25, 2012  Limited","Mar 1, 2013",https://www.rottentomatoes.com/m/ruby_sparks,"Romance, Fantasy"
13 Going On 30,"A girl who's sick of the social strictures of junior high is transformed into a grownup overnight. In this feel-good fairy tale, teenager Jenna (Christa B. Allen) wants a boyfriend, and when she's unable to find one, she fantasizes about being a well-adjusted adult. Suddenly, her secret desire becomes a reality, and she is transformed into a 30-year-old (Jennifer Garner). But adulthood, with its own set of male-female challenges, isn't as easy as it looks.",Eng,97,Gary Winick,"Susan Arnold, Gina Matthews, Donna Arkoff Roth","Josh Goldsmith, Rita Hsiao, Cathy Yuspa","['Jennifer Garner', 'Jenna Rink', 'Mark Ruffalo', 'Matt Flamhaff', 'Judy Greer', 'Lucy', 'Andy Serkis', 'Richard', 'Kathy Baker', 'Beverly Rink', 'Phil Reeves', 'Wayne Rink']","Columbia Pictures, Sony Pictures Entertainment","Revolution Studios, Thirteen Productions LLC",56000000.0,0.64,0.71,177,Romance,"Apr 14, 2004  Wide","Jun 16, 2010",https://www.rottentomatoes.com/m/13_going_on_30,"Romance, Comedy, Fantasy"
5050 2011,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.",Eng,99,Jonathan Levine,"Evan Goldberg, Seth Rogen, Ben Karlin",Will Reiser,"['Joseph Gordon-Levitt', 'Adam', 'Seth Rogen', 'Kyle', 'Anna Kendrick', 'Katherine', 'Bryce Dallas Howard', 'Rachael', 'Philip Baker Hall', 'Alan', 'Anjelica Huston', 'Diane']",Summit Entertainment,"Summit Entertainment, Point Grey, Mandate Pictures",35000000.0,0.93,0.88,198,Comedy,"Sep 30, 2011  Wide","Jan 7, 2014",https://www.rottentomatoes.com/m/5050_2011,"Comedy, Drama, Romance"
Far From The Madding Crowd 2014,"A headstrong Victorian beauty (Carey Mulligan) has her choice of three different suitors: a sheep farmer (Matthias Schoenaerts), a dashing soldier (Tom Sturridge) and a prosperous, older bachelor (Michael Sheen).",Eng,118,Thomas Vinterberg,"Andrew Macdonald, Allon Reich","David Nicholls, Thomas Hardy","['Carey Mulligan', 'Bathsheba Everdene', 'Matthias Schoenaerts', 'Gabriel Oak', 'Michael Sheen', 'William Boldwood', 'Tom Sturridge', 'Frank Troy', 'Juno Temple', 'Fanny Robin', 'Jessica Barden', 'Liddy']",Fox Searchlight,DNA Films,12100000.0,0.85,0.75,194,Romance,"May 1, 2015  Limited","Oct 13, 2016",https://www.rottentomatoes.com/m/far_from_the_madding_crowd_2014,"Romance, Drama"
Midnight In Paris,"Gil Pender (Owen Wilson) is a screenwriter and aspiring novelist. Vacationing in Paris with his fiancee (Rachel McAdams), he has taken to touring the city alone. On one such late-night excursion, Gil encounters a group of strange -- yet familiar -- revelers, who sweep him along, apparently back in time, for a night with some of the Jazz Age's icons of art and literature. The more time Gil spends with these cultural heroes of the past, the more dissatisfied he becomes with the present.",Eng,94,Woody Allen,"Letty Aronson, Stephen Tenenbaum, Jaume Roures",Woody Allen,"['Owen Wilson', 'Gil', 'Rachel McAdams', 'Inez', 'Marion Cotillard', 'Adriana', 'Michael Sheen', 'Paul', 'Kathy Bates', 'Gert', 'Adrien Brody', 'Salvador']",Sony Pictures Classics,Pontchartrain,56800000.0,0.93,0.83,229,Romance,"Jun 10, 2011  Wide","May 7, 2013",https://www.rottentomatoes.com/m/midnight_in_paris,"Romance, Comedy, Fantasy"
Theres Something About Mary,"Ted's (Ben Stiller) dream prom date with Mary (Cameron Diaz) never happens due to an embarrassing injury at her home. Years later, Ted hires Pat Healy (Matt Dillon) to track down Mary so he can reconnect with her. Pat lies to Ted about Mary and he finds out everything he can about her to trick her into dating him. Ted travels to meet Mary and has to weave through the web of lies that Pat and Mary's friend Tucker (Lee Evans) have woven to try and win her over.",Eng,118,"Robert Farrelly, Peter Farrelly","Bradley Thomas, Charles B. Wessler","Ed Decter, John J. Strauss, Ed Decter, John J. Strauss, Peter Farrelly, Robert Farrelly","['Cameron Diaz', 'Mary Jensen Matthews', 'Matt Dillon', 'Pat Healy', 'Ben Stiller', 'Ted Stroehmann', 'Lee Evans', 'Tucker, Norman Phipps', 'Chris Elliott', 'Dom Woganowski', 'Lin Shaye', 'Magda']",20th Century Fox,Twentieth Century Fox,176500000.0,0.84,0.61,88,Romance,"Jul 15, 1998  Wide","Mar 1, 2013",https://www.rottentomatoes.com/m/theres_something_about_mary,"Romance, Comedy"
1175569-Lars And The Real Girl,"Extremely shy Lars (Ryan Gosling) finds it impossible to make friends or socialize. His brother (Paul Schneider) and sister-in-law (Emily Mortimer) worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor (Patricia Clarkson), his family and the rest of the community go along with his delusion.",Eng,107,Craig Gillespie,"Sarah Aubrey, John Cameron, Sidney Kimmel",Nancy Oliver,"['Ryan Gosling', 'Lars', 'Paul Schneider', 'Gus', 'Emily Mortimer', 'Karin', 'Patricia Clarkson', 'Dagmar', 'Kelli Garner', 'Margo', 'Nancy Beatty', 'Mrs. Gruner']",Metro-Goldwyn-Mayer,Sidney Kimmel Entertainment,5900000.0,0.81,0.84,140,Comedy,"Oct 12, 2007  Limited","Oct 17, 2016",https://www.rottentomatoes.com/m/1175569-lars_and_the_real_girl,"Comedy, Drama, Romance"
1068832-Sense And Sensibility,"When Elinor Dashwood's (Emma Thompson) father dies, her family's finances are crippled. After the Dashwoods move to a cottage in Devonshire, Elinor's sister Marianne (Kate Winslet) is torn between the handsome John Willoughby (Greg Wise) and the older Colonel Brandon (Alan Rickman). Meanwhile, Elinor's romantic hopes with Edward Ferrars (Hugh Grant) are hindered due to his prior engagement. Both Elinor and Marianne strive for love while the circumstances in their lives constantly change.",Eng,135,Ang Lee,Lindsay Doran,"Jane Austen, Emma Thompson","['Emma Thompson', 'Elinor Dashwood', 'Alan Rickman', 'Col. Christopher Brandon', 'Kate Winslet', 'Marianne Dashwood', 'Hugh Grant', 'Edward Ferrars', 'James Fleet', 'John Dashwood', 'Harriet Walter', 'Fanny Dashwood']","Columbia TriStar Home Video, Columbia Pictures",Columbia Pictures Corporation,42000000.0,0.97,0.9,68,Comedy,"Dec 13, 1995  Original","Apr 16, 2012",https://www.rottentomatoes.com/m/1068832-sense_and_sensibility,"Comedy, Drama, Romance"
Vicky Cristina Barcelona,"Americans Vicky (Rebecca Hall) and Cristina (Scarlett Johansson) arrive in Spain for a summer vacation at a friend's (Patricia Clarkson) Barcelona home. Visiting an art gallery, they meet seductive painter Juan Antonio (Javier Bardem), who invites them for a weekend of food, art and sex. Sparks really ignite when his fiery former lover (Penélope Cruz) arrives on the scene, making for a very crowded house.",Eng,96,Woody Allen,"Letty Aronson, Gareth Wiley, Stephen Tenenbaum",Woody Allen,"['Javier Bardem', 'Juan Antonio', 'Patricia Clarkson', 'Judy Nash', 'Penélope Cruz', 'María Elena', 'Kevin Dunn', 'Mark Nash', 'Rebecca Hall', 'Vicky', 'Scarlett Johansson', 'Cristina']",Metro-Goldwyn-Mayer,"Antena 3 Films, Mediapro Pictures, Gravier Productions, The Weinstein Company, Antena 3 Televisión",23200000.0,0.8,0.74,213,Comedy,"Aug 15, 2008  Wide","Jan 21, 2017",https://www.rottentomatoes.com/m/vicky_cristina_barcelona,"Comedy, Drama, Romance"
Im Your Man 2021,"In order to obtain funds for her research, Alma (Maren Eggert) is persuaded to participate in an extraordinary study. For three weeks she is required to live with Tom (Dan Stevens), a humanoid robot designed to be the perfect life partner for her, tailored to her character and needs. I'M YOUR MAN is a playful romance about relationships, love, and what it means to be human in the modern age.",Ger,105,Maria Schrader,Lisa Blumenberg,"Jan Schomburg, Maria Schrader, Emma Braslavsky","['Dan Stevens', 'Tom', 'Maren Eggert', 'Alma', 'Sandra Hüller', 'Mitarbeiterin', 'Hans Löw', 'Julian', 'Wolfgang Hübsch', 'Vater Felser', 'Annika Meier', 'Cora']",Bleecker Street,Letterbox Filmproduktion,274400.0,0.96,0.82,144,Romance,"Sep 24, 2021  Limited","Oct 12, 2021",https://www.rottentomatoes.com/m/im_your_man_2021,"Romance, Comedy, Sci-fi"
The Fault In Our Stars,"Hazel Grace Lancaster (Shailene Woodley), a 16-year-old cancer patient, meets and falls in love with Gus Waters (Ansel Elgort), a similarly afflicted teen from her cancer support group. Hazel feels that Gus really understands her. They both share the same acerbic wit and a love of books, especially Grace's touchstone, ""An Imperial Affliction"" by Peter Van Houten. When Gus scores an invitation to meet the reclusive author, he and Hazel embark on the adventure of their brief lives.",Eng,126,Josh Boone,"Wyck Godfrey, Marty Bowen","Scott Neustadter, Michael H. Weber","['Shailene Woodley', 'Hazel Grace Lancaster', 'Ansel Elgort', 'Augustus Waters', 'Willem Dafoe', 'Peter Van Houten', 'Nat Wolff', 'Isaac', 'Laura Dern', 'Frannie Lancaster', 'Sam Trammell', 'Michael Lancaster']",20th Century Fox,Temple Hill,124900000.0,0.81,0.85,227,Romance,"Jun 6, 2014  Wide","Jan 4, 2016",https://www.rottentomatoes.com/m/the_fault_in_our_stars,"Romance, Drama"
Before Sunset,"A sequel to ""Before Sunrise,"" this film starts nine years later as Jesse (Ethan Hawke) travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine (Julie Delpy). After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.",Eng,80,Richard Linklater,Anne Walker-McBay,"Richard Linklater, Kim Krizan","['Ethan Hawke', 'Jesse', 'Julie Delpy', 'Celine', 'Vernon Dobtcheff', 'Book Store Manager', 'Louise Lemoine Torres', 'Journalist', 'Rodolphe Pauly', 'Journalist', 'Mariane Plasteig', 'Waitress']",Warner Independent,Warner Independent Pictures,5800000.0,0.94,0.91,179,Romance,"Feb 10, 2004  Original","Oct 3, 2008",https://www.rottentomatoes.com/m/before_sunset,"Romance, Drama"
