,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
38,Godzilla King Of The Monsters 2019,"Members of the crypto-zoological agency Monarch face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species-thought to be mere myths-rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.", English, 2h 12m, Michael Dougherty," Michael Dougherty, Zach Shields","['Kyle Chandler', 'Dr. Mark Russell', 'Vera Farmiga', 'Dr. Emma Russell', 'Millie Bobby Brown', 'Madison Russell', 'Ken Watanabe', 'Dr. Ishiro Serizawa', 'Zhang Ziyi', 'Dr. Ilene Chen, Dr. Ling', 'Bradley Whitford', 'Dr. Rick Stanton']",42%,83%,352," Sci-fi, Action, Adventure",https://www.rottentomatoes.com/m/godzilla_king_of_the_monsters_2019
39,To Catch A Killer 2023,"A modern-day Clarice Starling, Eleanor (Shailene Woodley) is a young police investigator wrestling with the demons of her past when she is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track the work of a disturbed individual. As the police and FBI launch a nationwide manhunt, they are thwarted at every turn by the individual’s unprecedented behavior. Given her tortured psyche, Eleanor may be the only person who can understand the mind of their assailant and bring him to justice.", English, 1h 59m, Damián David Szifron," Damián David Szifron, Jonathan Wakeham","['Shailene Woodley', 'Eleanor Falco', 'Ben Mendelsohn', 'Geoffrey Lammark', 'Jovan Adepo', 'Mackenzie', 'Ralph Ineson', 'Dean Possey', 'Marcella Lentz-Pope', 'Lamenting Mother Voice', 'Rosemary Dunsmore', 'Mrs. Possey']",53%,63%,80," Action, Crime, Drama, Mystery & thriller",https://www.rottentomatoes.com/m/to_catch_a_killer_2023
40,Star Wars Episode I The Phantom Menace,"Obi-Wan Kenobi (Ewan McGregor) is a young apprentice Jedi knight under the tutelage of Qui-Gon Jinn (Liam Neeson) ; Anakin Skywalker (Jake Lloyd), who will later father Luke Skywalker and become known as Darth Vader, is just a 9-year-old boy. When the Trade Federation cuts off all routes to the planet Naboo, Qui-Gon and Obi-Wan are assigned to settle the matter.", English, 2h 13m, George Lucas, George Lucas,"['Liam Neeson', 'Qui-Gon Jinn', 'Ewan McGregor', 'Obi-Wan Kenobi', 'Natalie Portman', 'Queen Amidala, Padmé Naberrie', 'Jake Lloyd', 'Anakin Skywalker', 'Pernilla August', 'Shmi Skywalker', 'Frank Oz', 'Master Yoda Voice']",52%,59%,237," Sci-fi, Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/star_wars_episode_i_the_phantom_menace
41,F9,"Vin Diesel's Dom Toretto is leading a quiet life off the grid with Letty and his son, little Brian, but they know that danger always lurks just over their peaceful horizon. This time, that threat will force Dom to confront the sins of his past if he's going to save those he loves most. His crew joins together to stop a world-shattering plot led by the most skilled assassin and high-performance driver they've ever encountered: a man who also happens to be Dom's forsaken brother, Jakob (John Cena, the upcoming The Suicide Squad).", English, 2h 25m, Justin Lin," Daniel Casey, Justin Lin","['Vin Diesel', 'Dominic Toretto', 'Michelle Rodriguez', 'Letty', 'Jordana Brewster', 'Mia', 'Tyrese Gibson', 'Roman', 'Ludacris', 'Tej', 'Nathalie Emmanuel', 'Ramsey']",59%,82%,315," Action, Adventure, Crime",https://www.rottentomatoes.com/m/f9
42,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the ancient gods--and imprisoned just as quickly--Black Adam (Dwayne Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.", English, 2h 5m, Jaume Collet-Serra," Adam Sztykiel, Rory Haines, Sohrab Noshirvani","['Dwayne Johnson', 'Black Adam, Teth Adam', 'Aldis Hodge', 'Hawkman, Carter Hall', 'Noah Centineo', 'Atom Smasher, Al Rothstein', 'Sarah Shahi', 'Adrianna Tomaz, Isis', 'Marwan Kenzari', 'Ishmael, Sabbac, King Ahk-Ton', 'Quintessa Swindell', 'Cyclone, Maxine Hunkel']",38%,88%,304," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/black_adam
43,Shazam Fury Of The Gods,"From New Line Cinema comes ""Shazam! Fury of the Gods,"" which continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!,"" is transformed into his adult Super Hero alter ego, Shazam.", English, 2h 10m, David F. Sandberg," Henry Gayden, Chris Morgan","['Zachary Levi', 'Shazam', 'Helen Mirren', 'Hespera', 'Lucy Liu', 'Kalypso', 'Asher Angel', 'Billy Batson', 'Rachel Zegler', 'Anthea', 'Jack Dylan Grazer', 'Freddy Freeman']",49%,86%,259," Action, Adventure, Comedy, Fantasy",https://www.rottentomatoes.com/m/shazam_fury_of_the_gods
44,The Interview 2014,"Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) are the team behind the popular tabloid-TV show ""Skylark Tonight."" After learning that North Korea's Kim Jong Un (Randall Park) is a huge fan of the show, they successfully set up an interview with him, hoping to legitimize themselves as actual journalists. However, as Dave and Aaron prepare for their journey to Pyongyang, the CIA steps in, recruits them, and assigns them an incredible mission: Assassinate the dictator.", English, 1h 51m," Seth Rogen, Evan Goldberg", Dan Sterling,"['James Franco', 'Dave Skylark', 'Seth Rogen', 'Aaron Rapaport', 'Lizzy Caplan', 'Agent Lacey', 'Randall Park', 'Kim Jong Un', 'Diana Bang', 'Sook', 'Timothy Simons', 'Malcolm']",51%,48%,156," Comedy, Action, Adventure",https://www.rottentomatoes.com/m/the_interview_2014
45,Red Notice,"In the world of international crime, an Interpol agent attempts to hunt down and capture the world's most wanted art thief.", English, 1h 57m, Rawson Marshall Thurber, Rawson Marshall Thurber,"['Dwayne Johnson', 'John Hartley', 'Ryan Reynolds', 'Nolan Booth', 'Gal Gadot', 'The Bishop', 'Ritu Arya', 'Inspector Urvashi Das', 'Chris Diamantopoulos', 'Sotto Voce', 'Ivan Mbakop', 'Tambwe']",37%,92%,175," Action, Comedy",https://www.rottentomatoes.com/m/red_notice
46,The Accountant 2016,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.", English, 2h 8m, Gavin O'Connor, Bill Dubuque,"['Ben Affleck', 'Christian Wolff', 'Anna Kendrick', 'Dana Cummings', 'J.K. Simmons', 'Ray King', 'Jon Bernthal', 'Brax', 'Jeffrey Tambor', 'Francis Silverberg', 'Cynthia Addai-Robinson', 'Marybeth Medina']",52%,76%,287," Mystery & thriller, Action, Crime, Drama",https://www.rottentomatoes.com/m/the_accountant_2016
47,Pirates Of The Caribbean Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.", English, 2h 3m," Joachim Rønning, Espen Sandberg", Jeff Nathanson,"['Johnny Depp', 'Captain Jack Sparrow', 'Geoffrey Rush', 'Captain Hector Barbossa', 'Javier Bardem', 'Captain Armando Salazar', 'Brenton Thwaites', 'Henry Turner', 'Kaya Scodelario', 'Carina Smyth', 'Orlando Bloom', 'Will Turner']",30%,60%,293," Adventure, Action, Fantasy",https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_men_tell_no_tales
48,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman (Billy Bob Thornton) determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper (Bruce Willis), who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. (Ben Affleck), who Harry thinks isn't good enough for his daughter (Liv Tyler), until the mission proves otherwise.", English, 2h 30m, Michael Bay," Robert Roy Pool, Tony Gilroy, Shane Salerno, Jonathan Hensleigh, J.J. Abrams","['Bruce Willis', 'Harry S. Stamper', 'Billy Bob Thornton', 'Dan Truman, NASA Administrator', 'Liv Tyler', 'Grace Stamper', 'Ben Affleck', 'A.J. Frost', 'Will Patton', 'Charles ""Chick"" Chapple', 'Peter Stormare', 'Lev Andropov, Russian Cosmonaut']",43%,73%,177," Sci-fi, Action, Adventure",https://www.rottentomatoes.com/m/armageddon
49,Justice League 2017,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists newfound ally Diana Prince to face an even greater threat. Together, Batman and Wonder Woman work quickly to recruit a team to stand against this newly awakened enemy. Despite the formation of an unprecedented league of heroes -- Batman, Wonder Woman, Aquaman, Cyborg and the Flash -- it may be too late to save the planet from an assault of catastrophic proportions.", English, 1h 59m, Zack Snyder," Chris Terrio, Joss Whedon","['Ben Affleck', 'Batman, Bruce Wayne', 'Henry Cavill', 'Superman, Clark Kent', 'Gal Gadot', 'Wonder Woman, Diana Prince', 'Amy Adams', 'Lois Lane', 'Ezra Miller', 'The Flash, Barry Allen', 'Jason Momoa', 'Aquaman, Arthur Curry']",39%,67%,413," Action, Adventure, Fantasy",https://www.rottentomatoes.com/m/justice_league_2017
50,1108704-Planet Of The Apes,"Director Tim Burton (""Batman"") reinvents one of the most acclaimed and beloved works of science fiction, Pierre Boulle's classic novel ""Planet of the Apes."" Burton's ""Planet of the Apes"" begins with the famed original's premise -- a pilot finds himself in a world turned upside down after landing on a strange planet.", English, 2h 0m, Tim Burton," William Broyles Jr., Lawrence Konner, Mark Rosenthal, Pierre Boulle","['Mark Wahlberg', 'Captain Leo Davidson', 'Tim Roth', 'Thade', 'Helena Bonham Carter', 'Ari', 'Michael Clarke Duncan', 'Attar', 'Paul Giamatti', 'Limbo', 'Estella Warren', 'Daena']",44%,27%,160," Sci-fi, Action, Adventure",https://www.rottentomatoes.com/m/1108704-planet_of_the_apes
51,Underwater 2020,"Disaster strikes more than six miles below the ocean surface when water crashes through the walls of a drilling station. Led by their captain, the survivors realize that their only hope is to walk across the sea floor to reach the main part of the facility. But they soon find themselves in a fight for their lives when they come under attack from mysterious and deadly creatures that no one has ever seen.", English, 1h 35m, William Eubank," Brian Duffield, Adam Cozad","['Kristen Stewart', 'Norah Price', 'Vincent Cassel', 'Captain Lucien', 'Mamoudou Athie', 'Rodrigo Nagenda', 'T.J. Miller', 'Paul Abel', 'John Gallagher Jr.', 'Liam Smith', 'Jessica Henwick', 'Emily Haversham']",48%,60%,223," Sci-fi, Horror, Mystery & thriller, Action",https://www.rottentomatoes.com/m/underwater_2020
52,57 Seconds,"Josh Hutcherson (The Hunger Games) and Academy Award® winner Morgan Freeman (Million Dollar Baby) star in this heart-racing action thriller. When a tech blogger discovers a time-altering device, he unleashes its power to rewrite the past and seek revenge against the ruthless corporate empire that destroyed his family. But his actions soon trigger a terrifying chain of events, propelling him into a pulse-pounding battle for survival where every second counts.", English, 1h 39m, Rusty Cundieff," Macon Blair, Rusty Cundieff","['Josh Hutcherson', 'Franklin', 'Morgan Freeman', 'Anton Burrell', 'Greg Germann', 'Sig Thorenson', 'Lovie Simone', 'Jala', 'Bevin Bru', 'Renee Renzler', 'Sammi Rotibi', 'Calvert']",13%,47%,8," Action, Mystery & thriller, Sci-fi",https://www.rottentomatoes.com/m/57_seconds
53,Venom 2018,"Journalist Eddie Brock is trying to take down Carlton Drake, the notorious and brilliant founder of the Life Foundation. While investigating one of Drake's experiments, Eddie's body merges with the alien Venom -- leaving him with superhuman strength and power. Twisted, dark and fueled by rage, Venom tries to control the new and dangerous abilities that Eddie finds so intoxicating.", English, 1h 52m, Ruben Fleischer," Jeff Pinkner, Scott Rosenberg, Kelly Marcel","['Tom Hardy', 'Eddie Brock, Venom', 'Michelle Williams', 'Anne Weying', 'Riz Ahmed', 'Carlton Drake, Riot', 'Scott Haze', 'Roland Treece', 'Reid Scott', 'Dr. Dan Lewis', 'Jenny Slate', 'Dr. Dora Skirth']",30%,80%,365," Action, Adventure, Fantasy, Sci-fi",https://www.rottentomatoes.com/m/venom_2018
54,Wanted Man,"Johansen (Dolph Lundgren) is an aging detective, whose outdated policing methods have given the department a recent public relations problem. To save his job, he is sent to Mexico to extradite a female witness (Christina Villa) to the murders of two DEA agents. Once there, he finds not only his old opinions challenged, but that bad hombres on both sides of the border are now gunning for him and his witness.", English, 1h 26m, Dolph Lundgren," Dolph Lundgren, Michael Worth, Hank Hugues","['Dolph Lundgren', 'Travis Johansen', 'Kelsey Grammer', 'Brynner', 'Michael Paré', 'Tinelli', 'Christina Villa', 'Rosa Barranco', 'Roger Cross', 'Hernandez', 'Michael Worth']",10%,40%,10," Action, Mystery & thriller",https://www.rottentomatoes.com/m/wanted_man
55,The Machine 2023,"Bert Kreischer rose to fame as a stand-up comedian known as The Machine, and in his signature set he recounts his true experience with Russian mobsters while on a booze-soaked college trip. Now, 23 years later, that trip has come back to haunt him as he and his estranged father (Mark Hamill) are kidnapped back to Russia by the mob to atone for something they say he did. Together, Bert and his father must retrace the steps of his younger self (Jimmy Tatro) in the midst of a war within a sociopathic crime family, all while attempting to find common ground in their often fraught relationship.", English, 1h 52m, Peter Atencio," Kevin Biegel, Scotty Landes","['Bert Kreischer', 'Self', 'Mark Hamill', 'Albert', 'Jimmy Tatro', 'Young Bert', 'Iva Babic', 'Irina', 'Stephanie Kurtzuba', 'LeeAnn', 'Jess Gabor', 'Sasha']",32%,87%,25," Comedy, Action",https://www.rottentomatoes.com/m/the_machine_2023
